crop_id,ideal_soil_type,ph_min,ph_max,soil_moisture_min,soil_moisture_max,organic_carbon_min,organic_carbon_max,n_requirement,p_requirement,k_requirement,previous_crop_restrictions
40,Loamy|Clay loam,6.0,7.5,45,65,0.5,1.5,Low,High,Medium,
41,Loamy|Sandy loam,5.5,7.5,40,60,0.5,1.5,Low,High,Medium,
42,Loamy|Sandy loam,6.0,7.5,45,65,0.6,1.8,Low,High,Medium,
43,Loamy|Clay loam|Alluvial,6.0,7.5,50,70,0.6,1.8,Medium,High,Medium,Soybean
44,Sandy loam|Loamy,5.5,7.5,35,55,0.5,1.5,Medium,High,Medium,Groundnut
45,Loamy|Sandy loam|Alluvial,5.5,8.0,35,55,0.5,1.5,Medium,High,Medium,
46,Loamy|Sandy loam|Black soil,6.0,8.0,40,65,0.5,1.5,Medium,High,Medium,Sunflower
47,Black soil|Alluvial|Loamy,6.0,8.5,40,65,0.5,1.5,High,High,High,Cotton
48,Sandy loam|Clay loam|Alluvial,5.5,7.5,70,90,0.8,2.0,High,High,High,
49,Loamy|Clay loam|Alluvial,5.5,8.5,60,85,0.8,2.5,High,High,High,Sugarcane
50,Sandy loam|Loamy,5.5,7.0,50,70,0.8,2.0,High,Medium,Medium,Potato|Tomato
51,Loamy|Sandy loam,6.0,7.5,50,70,0.8,2.0,High,Medium,Medium,Tomato|Brinjal|Potato
52,Loamy|Clay loam,5.5,7.5,50,70,0.6,1.8,High,Medium,Medium,Brinjal|Tomato
53,Loamy|Sandy loam,6.0,7.5,45,65,0.6,1.8,High,Medium,Medium,Okra
54,Loamy|Clay loam,6.0,7.5,55,75,0.8,2.0,High,Medium,Medium,Cabbage|Cauliflower
55,Loamy|Clay loam,6.0,7.5,55,75,0.8,2.0,High,Medium,Medium,Cauliflower|Cabbage
56,Loamy|Alluvial|Laterite,5.5,7.5,40,65,0.5,1.5,Medium,Medium,High,
57,Loamy|Clay loam|Alluvial,5.5,7.5,65,85,1.0,2.5,Medium,Medium,High,Banana
58,Sandy loam|Loamy,5.5,7.5,45,70,0.5,1.5,Medium,Medium,High,
59,Sandy loam|Loamy,6.0,7.5,55,75,0.8,2.0,Medium,Medium,High,
60,Sandy loam|Loamy|Clay loam,6.0,8.0,40,60,0.5,1.5,Medium,Medium,High,Grapes
