crop_id,temp_min_c,temp_max_c,annual_rainfall_min_mm,annual_rainfall_max_mm,humidity_min,humidity_max,climate_zone,water_requirement_level,irrigation_type_supported,water_ph_min,water_ph_max,climate_sensitivity_score
33,18,35,500,1200,50,75,Tropical,Medium,"Drip|Sprinkler|Flood",5.5,7.5,0.50
34,25,42,250,600,25,50,Arid,Low,"Drip|Rainfed",6.5,8.5,0.40
35,25,40,350,800,30,55,Semi-arid,Low,"Drip|Rainfed",5.5,8.5,0.40
36,20,35,400,1000,40,70,Tropical,Low,"Drip|Rainfed",5.5,7.5,0.50
37,15,30,400,750,30,55,Semi-arid,Low,"Drip|Rainfed",5.5,7.5,0.55
38,20,35,650,1200,45,70,Tropical,Low,"Drip|Rainfed",5.5,8.0,0.50
39,25,38,500,1000,50,75,Tropical,Low,"Drip|Rainfed",6.0,7.5,0.45
40,25,35,750,1200,55,80,Tropical,Medium,"Drip|Sprinkler",6.0,7.5,0.50
41,12,28,400,750,35,60,Temperate,Low,"Drip|Rainfed",5.5,7.5,0.55
42,15,28,500,1000,50,75,Temperate,Medium,"Drip|Sprinkler",6.0,7.5,0.60
43,20,35,650,1200,50,75,Tropical,Medium,"Drip|Sprinkler",6.0,7.5,0.50
44,22,35,500,1000,45,70,Tropical,Low,"Drip|Rainfed",5.5,7.5,0.50
45,12,28,350,750,35,60,Temperate,Low,"Drip|Rainfed",5.5,8.0,0.50
46,20,35,500,1000,45,70,Tropical,Medium,"Drip|Sprinkler",6.0,8.0,0.55
47,22,38,500,1200,45,70,Tropical,Medium,"Drip|Flood",6.0,8.5,0.60
48,25,38,1200,2500,70,90,Tropical,High,"Flood|Rainfed",5.5,7.5,0.55
49,20,40,1000,2000,55,85,Tropical,High,"Flood|Drip",5.5,8.5,0.50
50,12,25,400,800,50,75,Temperate,Medium,"Drip|Sprinkler",5.5,7.0,0.65
51,18,32,500,1200,50,80,Tropical,Medium,"Drip|Sprinkler",6.0,7.5,0.60
52,20,35,600,1200,50,80,Tropical,Medium,"Drip|Sprinkler",5.5,7.5,0.55
53,25,38,600,1200,50,80,Tropical,Medium,"Drip|Sprinkler",6.0,7.5,0.55
54,12,25,500,1000,55,80,Temperate,Medium,"Drip|Sprinkler",6.0,7.5,0.65
55,12,25,500,1000,55,80,Temperate,Medium,"Drip|Sprinkler",6.0,7.5,0.70
56,18,40,750,2000,45,75,Tropical,Medium,"Drip|Sprinkler|Flood",5.5,7.5,0.50
57,20,35,1500,2500,70,90,Tropical,High,"Drip|Flood",5.5,7.5,0.60
58,18,38,600,1500,45,75,Tropical,Medium,"Drip|Sprinkler",5.5,7.5,0.45
59,20,38,1000,2000,60,85,Tropical,High,"Drip|Sprinkler",6.0,7.5,0.55
60,15,35,500,1000,40,65,Mediterranean,Medium,"Drip",6.0,8.0,0.70
